year,alpes,azur,bretagne,corse,idf
2002,16411.0,16121.0,15161.0,14022.0,20301.0
2003,16729.0,16475.0,15492.0,14448.0,20509.0
2004,17344.0,17011.0,16006.0,14836.0,21315.0
2005,17750.0,17383.0,16628.0,15210.0,21458.0
2006,18522.0,17880.0,17505.0,16480.0,21679.0
2007,19295.0,18587.0,18088.0,17336.0,23194.0
2008,19746.0,19217.0,18827.0,18282.0,23535.0
2009,19612.0,19283.0,18826.0,18548.0,23414.0
2010,19969.0,19695.0,19113.0,18641.0,23962.0
2011,20370.0,20125.0,19493.0,18831.0,24138.0
2012,20448.0,20110.0,19453.0,19126.0,24200.0
2013,20468.0,20179.0,19397.0,19127.0,23907.0
2014,20593.0,20177.0,19530.0,18520.0,24084.0
2015,20664.0,20370.0,19749.0,18832.0,24190.0
